Sample_ID,Batch_Code,Cement_Type,Cure_Time_Days,Diameter_mm,Height_mm,Weight_kg,Max_Load_kN,Compressive_Strength_MPa,Technician
CYL-1001,B-120,CEM I 52.5,7,150.8,301.5,12.96,608.51,34.07,Ali
CYL-1002,B-119,CEM I 42.5,28,151.7,300.2,12.98,525.78,29.09,Ali
CYL-1003,B-136,CEM I 42.5,7,150.5,299.9,13.05,504.33,28.35,Sarah
CYL-1004,B-106,CEM II 32.5,28,150.0,299.0,12.62,601.54,34.04,Sarah
CYL-1005,B-126,CEM I 52.5,90,151.4,299.4,13.01,930.75,51.7,Ayse
CYL-1006,B-149,CEM I 42.5,7,149.3,300.4,12.69,461.83,26.38,Ali
CYL-1007,B-143,CEM I 52.5,90,148.1,301.8,12.28,905.43,52.56,John
CYL-1008,B-116,CEM II 32.5,7,150.2,298.0,12.55,476.63,26.9,Sarah
CYL-1009,B-126,CEM I 52.5,90,150.4,300.9,12.96,929.51,52.32,John
CYL-1010,B-144,CEM I 42.5,90,149.3,301.6,12.93,699.23,39.94,Ayse
CYL-1011,B-124,CEM I 42.5,28,149.7,300.9,12.92,718.29,40.81,Fatma
CYL-1012,B-100,CEM I 42.5,90,149.1,300.5,12.83,564.83,32.35,Ayse
CYL-1013,B-132,CEM I 42.5,90,148.3,301.9,12.74,708.03,40.99,John
CYL-1014,B-141,CEM I 42.5,28,148.2,299.4,12.25,629.97,36.52,John
CYL-1015,B-104,CEM I 42.5,7,149.2,301.1,12.86,465.93,26.65,John
CYL-1016,B-132,CEM I 42.5,28,148.8,301.1,12.5,664.64,38.22,Veli
CYL-1017,B-103,CEM II 32.5,7,150.0,300.6,12.82,467.06,26.43,Sarah
CYL-1018,B-101,CEM I 52.5,90,148.7,298.8,12.63,903.06,52.0,Sarah
CYL-1019,B-103,CEM I 52.5,28,148.0,298.6,12.3,682.46,39.67,Ayse
CYL-1020,B-118,CEM I 52.5,7,148.6,300.6,12.61,656.61,37.86,Ali
CYL-1021,B-134,CEM I 42.5,90,151.8,301.8,12.95,655.51,36.22,Ali
CYL-1022,B-129,CEM I 52.5,90,150.2,301.6,12.74,897.8,50.67,Fatma
CYL-1023,B-144,CEM II 32.5,28,151.9,301.2,13.21,657.46,36.28,Veli
CYL-1024,B-108,CEM II 32.5,90,149.8,299.2,12.48,746.92,42.38,Sarah
CYL-1025,B-117,CEM I 52.5,28,149.9,299.6,12.63,822.22,46.59,Sarah
CYL-1026,B-132,CEM I 52.5,90,149.6,301.8,12.78,843.54,47.99,Ali
CYL-1027,B-139,CEM I 42.5,90,150.1,299.3,12.71,724.43,40.94,Fatma
CYL-1028,B-132,CEM II 32.5,28,151.5,299.9,12.89,714.22,39.62,Sarah
CYL-1029,B-133,CEM I 42.5,90,149.8,299.7,12.67,721.19,40.92,John
CYL-1030,B-134,CEM II 32.5,90,151.0,300.3,12.9,693.57,38.73,Ali
CYL-1031,B-143,CEM II 32.5,28,152.0,299.8,12.96,735.45,40.53,Ali
CYL-1032,B-144,CEM II 32.5,7,150.3,300.9,12.65,444.62,25.06,Ali
CYL-1033,B-131,CEM I 52.5,90,149.9,298.1,12.77,917.69,52.0,Fatma
CYL-1034,B-115,CEM II 32.5,28,148.1,301.1,12.66,525.24,30.49,Fatma
CYL-1035,B-106,CEM II 32.5,90,149.2,299.4,12.77,627.31,35.88,Veli
CYL-1036,B-106,CEM II 32.5,7,148.3,298.1,12.28,371.72,21.52,Fatma
CYL-1037,B-103,CEM I 42.5,7,151.1,298.8,12.87,526.29,29.35,Sarah
CYL-1038,B-134,CEM II 32.5,28,149.8,301.1,12.57,600.29,34.06,Veli
CYL-1039,B-113,CEM II 32.5,7,151.8,299.1,13.12,441.77,24.41,Ali
CYL-1040,B-116,CEM II 32.5,7,150.6,298.9,12.86,480.42,26.97,John
CYL-1041,B-126,CEM I 52.5,28,149.7,300.6,12.57,793.97,45.11,Fatma
CYL-1042,B-150,CEM I 52.5,90,151.6,298.7,12.77,905.77,50.18,Ali
CYL-1043,B-122,CEM I 42.5,28,148.8,302.0,12.56,606.38,34.87,Veli
CYL-1044,B-111,CEM I 52.5,7,151.7,300.7,13.29,580.0,32.09,Fatma
CYL-1045,B-139,CEM I 42.5,90,151.4,299.8,13.04,750.54,41.69,Sarah
CYL-1046,B-144,CEM II 32.5,28,151.8,301.9,12.94,606.65,33.52,Ali
CYL-1047,B-141,CEM II 32.5,7,149.5,299.5,12.71,481.68,27.44,John
CYL-1048,B-117,CEM I 42.5,7,150.4,300.1,13.04,460.85,25.94,Veli
CYL-1049,B-124,CEM I 42.5,7,149.2,301.5,12.42,468.21,26.78,Ayse
CYL-1050,B-111,CEM II 32.5,28,148.1,299.9,12.65,586.22,34.03,Ayse
CYL-1051,B-107,CEM II 32.5,7,151.0,300.4,12.94,437.85,24.45,Ali
CYL-1052,B-125,CEM I 52.5,90,150.0,300.4,12.93,910.79,51.54,Ayse
CYL-1053,B-124,CEM II 32.5,7,148.7,298.6,12.48,461.43,26.57,Fatma
CYL-1054,B-109,CEM I 52.5,28,150.2,301.6,12.89,868.03,48.99,John
CYL-1055,B-111,CEM I 42.5,28,148.8,301.7,12.84,641.34,36.88,Sarah
CYL-1056,B-131,CEM I 42.5,28,149.1,300.8,12.74,619.48,35.48,John
CYL-1057,B-143,CEM I 42.5,28,150.1,299.1,12.83,657.9,37.18,Ayse
CYL-1058,B-121,CEM I 42.5,28,148.6,298.2,12.18,565.56,32.61,Veli
CYL-1059,B-131,CEM II 32.5,90,151.6,299.8,12.77,787.0,43.6,Sarah
CYL-1060,B-135,CEM II 32.5,90,151.2,301.7,12.97,798.65,44.48,Veli
